Customer_ID,Age,Gender,Location,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Intent,Time_of_Day,Device_Type,Browsing_History,Weather,Purchase_History,Social_Media_Activity,Device_Engagement_Level,Sentiment_Analysis,Brand_Affinities,Survey_Responses,Preferred_Product_Category,Session Duration (Seconds),Scroll Depth (%),Ad Interaction History,Subscription Status,Users Risk Tolerance,Decision Making Speed,Marital / Relationship Status,Family Size,Friends Referrals & Social Influence,Local Events/Trends,Purchase Timing Patterns,Household Income Patterns
62,33,M,Tulsa,"Car Detailing Supplies, Auto Accessories",Credit Card,Weekly,Positive,Evening,Laptop,"Auto detailing forums, Car accessory websites",Rainy,"Car Detailing Supplies, Auto Accessories",Medium,Low,Focused,"Meguiar's, Chemical Guys","Car enthusiast, Detailer",Fragrances,152,20,Ignored,Unsubscribed,High,Slow,In a Relationship,2,7,Community Gathering,Late Night,Affluent
63,42,F,Wichita,"Knitting Supplies, Yarn",PayPal,Daily,Positive,Afternoon,Mobile,"Knitting patterns, Yarn store websites",Clear,"Knitting Supplies, Yarn",High,High,Creative,"Lion Brand, WeCrochet","Knitter, Craft enthusiast",Home Goods,97,66,Viewed,Premium Member,High,Moderate,In a Relationship,1,14,Community Gathering,Afternoon,High
64,24,M,New Orleans,"Streetwear, Sneakers",Debit Card,Weekly,Positive,Night,PC,"Sneaker blogs, Streetwear fashion websites",Cloudy,"Streetwear, Sneakers",High,Medium,Trendy,"Nike, Adidas Originals","Fashion-forward, Sneakerhead","Apparel, accessories",372,86,Ignored,Unsubscribed,High,Moderate,In a Relationship,5,13,Festival,Holiday Late Night,High
65,55,F,Cleveland,"Travel Guides, Language Learning Books",Credit Card,Monthly,Neutral,Morning,Mobile,"Travel blogs, Language learning websites",Sunny,"Travel Guides, Language Learning Books",Medium,Medium,Curious,"Lonely Planet, Duolingo","Traveler, Language learner",Travel,325,58,Ignored,Unsubscribed,Low,Moderate,Single,1,4,Festival,Afternoon,Affluent
66,30,M,Tampa,"Drones, Photography Equipment",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Drone reviews, Photography forums",Rainy,"Drones, Photography Equipment",High,High,Adventurous,"DJI, Canon","Photographer, Drone enthusiast",Electronics,188,20,Clicked,Free User,Low,Fast,Divorced,1,13,Community Gathering,Weekend Afternoon,Low
67,48,F,Pittsburgh,"Baking Supplies, Cake Decorating Tools",PayPal,Daily,Positive,Evening,Tablet,"Baking blogs, Cake decorating tutorials",Clear,"Baking Supplies, Cake Decorating Tools",High,High,Creative,"Wilton, King Arthur Baking","Baker, Cake decorator",Groceries,88,18,Skipped,Premium Member,Medium,Slow,Married,4,0,Concert,Evening,Low
68,27,M,Cincinnati,"Skateboards, Protective Gear",Credit Card,Weekly,Positive,Night,Laptop,"Skateboard forums, Gear review websites",Cloudy,"Skateboards, Protective Gear",High,Medium,Energetic,"Vans, Independent Trucks","Skateboarder, Action sports enthusiast","Apparel, accessories",635,25,Ignored,Unsubscribed,Medium,Moderate,Divorced,4,1,None,Holiday Late Night,Affluent
69,38,F,Aurora,"Yoga Accessories, Meditation Supplies",Debit Card,Monthly,Negative,Morning,Mobile,"Yoga blogs, Meditation app reviews",Windy,"Yoga Accessories, Meditation Supplies",Medium,Low,Peaceful,"Manduka, Gaiam","Yoga practitioner, Meditation enthusiast","Beauty, Haircut",203,16,Clicked,Subscribed,Medium,Slow,Divorced,2,12,Community Gathering,Holiday Afternoon,Middle
70,23,M,Colorado Springs,"Board Games, Card Games",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Board game reviews, Tabletop gaming forums",Sunny,"Board Games, Card Games",High,High,Engaged,"Asmodee, Fantasy Flight Games","Board game enthusiast, Tabletop gamer","Toys, Games",183,42,Clicked,Free User,High,Slow,In a Relationship,3,15,Sports Event,Weekend Afternoon,Low
71,53,F,St. Paul,"Gardening Tools, Flower Seeds",Credit Card,Monthly,Neutral,Evening,Tablet,"Gardening blogs, Seed catalog websites",Rainy,"Gardening Tools, Flower Seeds",Medium,Medium,Patient,"Burpee, Miracle-Gro","Gardener, Plant lover",Home Goods,195,98,Viewed,Premium Member,High,Moderate,Divorced,5,2,Sports Event,Holiday Morning,Affluent
72,35,M,Louisville,"Home Brewing Kits, Craft Beer Supplies",PayPal,Daily,Positive,Night,PC,"Home brewing forums, Craft beer websites",Clear,"Home Brewing Kits, Craft Beer Supplies",High,High,Enthusiastic,"Northern Brewer, MoreBeer!","Home brewer, Craft beer aficionado",Groceries,896,42,Ignored,Premium Member,Medium,Fast,Single,3,9,Festival,Weekend Evening,Middle
73,40,F,Nashville,"Spa Products, Bath Bombs",Debit Card,Weekly,Positive,Morning,Mobile,"Beauty blogs, Spa treatment reviews",Cloudy,"Spa Products, Bath Bombs",High,Medium,Relaxed,"Lush, Bath & Body Works","Spa enthusiast, Self-care advocate","Beauty, Haircut",744,98,Viewed,Premium Member,Low,Fast,Single,1,8,Concert,Holiday Afternoon,Middle
74,29,M,Oklahoma City,"Fishing Rods, Tackle Boxes",Apple Pay,Monthly,Negative,Afternoon,Laptop,"Fishing forums, Outdoor gear websites",Rainy,"Fishing Rods, Tackle Boxes",Medium,Low,Patient,"Shimano, Abu Garcia","Fisherman, Angler",Auto Care,321,76,Ignored,Unsubscribed,Low,Moderate,Divorced,4,11,Festival,Weekend Afternoon,Affluent
75,26,F,Portland,"Vinyl Records, Turntables",Credit Card,Weekly,Positive,Evening,Mobile,"Music blogs, Record store websites",Sunny,"Vinyl Records, Turntables",High,High,Nostalgic,"Audio-Technica, Crosley","Music lover, Vinyl collector","Books, media",518,17,Skipped,Unsubscribed,Low,Slow,Married,5,1,None,Weekend Late Night,Low
76,57,M,Las Vegas,"Luxury Watches, Cufflinks",PayPal,Daily,Positive,Night,Tablet,"Luxury watch reviews, Men's fashion blogs",Clear,"Luxury Watches, Cufflinks",High,High,Sophisticated,"Rolex, Montblanc","Luxury goods enthusiast, Style conscious","Apparel, accessories",387,22,Ignored,Premium Member,Low,Slow,Divorced,2,1,Community Gathering,Morning,Low
77,32,F,Tucson,"Hiking Gear, Trail Maps",Debit Card,Weekly,Positive,Morning,Mobile,"Hiking blogs, Outdoor adventure websites",Cloudy,"Hiking Gear, Trail Maps",High,Medium,Prepared,"Osprey, Salomon","Hiker, Outdoor explorer",Travel,896,39,Ignored,Free User,Medium,Fast,In a Relationship,2,12,Concert,Holiday Morning,High
78,45,M,Columbus,"Power Tools, Workshop Equipment",Apple Pay,Monthly,Neutral,Afternoon,Laptop,"DIY forums, Tool review websites",Rainy,"Power Tools, Workshop Equipment",Medium,Low,Focused,"Bosch, Makita","DIY enthusiast, Woodworker",Electronics,254,86,Clicked,Free User,Low,Moderate ,In a Relationship,3,5,Community Gathering,Late Night,Affluent
79,28,F,Charlotte,"Makeup Brushes, Beauty Tools",Credit,,,,,,,,,,,,,,,,,,"Users Risk Tolerance → Categorical values:
Low → Prefers well-known brands, avoids financial risks.
Medium → Occasionally tries new products but prefers stability.
High → Early adopter, frequently tries new products, high purchase risk.","Fast → Impulse buyer, makes quick purchase decisions.
Moderate → Takes some time to compare but doesn’t overanalyze.
Slow → Conducts extensive research, takes time before deciding.",,,,,,
